Date,Sentiment,Sentiment_coverage,Sentiment_Trends,Sentiment_Wiki,trend_generative_ai,trend_machine_learning,trend_chatgpt,large_language_model,trend_artificial_intelligence,wiki_Artificial_intelligence,wiki_ChatGPT,wiki_Large_language_model,wiki_OpenAI,wiki_Machine_learning,Sentiment_Consumer,Sentiment_EPU,Sentiment_VIX,Sentiment_Trends_z,Sentiment_Wiki_z,Sentiment_Consumer_z,Sentiment_EPU_z,Sentiment_VIX_z
1990-03-31,-0.04319665342029566,macro,,,,,,,,,,,,,91.3,86.06529,20.062272727272727,,,0.500112291575515,-0.7135958226501936,0.08389357081379169
1990-04-30,0.014150456820912502,macro,,,,,,,,,,,,,93.9,76.6617,21.4035,,,0.6853939342256069,-0.909063944326355,0.26612138056348555
1990-05-31,0.07620166472296154,macro,,,,,,,,,,,,,90.6,118.53795,18.097727272727273,,,0.45022877240049014,-0.03860150069138754,-0.18302227754021802
1990-06-30,-0.022411575811757234,macro,,,,,,,,,,,,,88.3,120.52674,16.82238095238095,,,0.2863257808254095,0.002738566847534741,-0.35629907510821596
1990-07-31,-0.015724482840773834,macro,,,,,,,,,,,,,88.2,111.56962,18.392857142857142,,,0.2791995638004064,-0.1834489872704114,-0.1429240250523165
1990-08-31,0.3590016032962297,macro,,,,,,,,,,,,,76.4,142.16524,28.175217391304347,,,-0.561694045150008,0.4525281632558867,1.1861706917828103
1990-09-30,0.42330836836841024,macro,,,,,,,,,,,,,72.8,157.69529,29.10736842105263,,,-0.8182378580501352,0.775344205111908,1.3128187580434578
1990-10-31,0.12051881158661641,macro,,,,,,,,,,,,,63.9,141.11953,29.625652173913043,,,-1.4524711732754476,0.4307914680662856,1.3832361399690112
1990-11-30,-0.015360809141034881,macro,,,,,,,,,,,,,66.0,145.29094,24.885714285714286,,,-1.302820615750374,0.5175006586457512,0.739237529681518
1990-12-31,-0.17107165211051367,macro,,,,,,,,,,,,,65.5,134.48512,23.363,,,-1.3384517008753913,0.2928850237051915,0.5323517208386589
1991-01-31,0.3292419202315015,macro,,,,,,,,,,,,,66.8,175.65861,27.429090909090913,,,-1.245810879550346,1.1487395168458119,1.0847971233990386
1991-02-28,-0.26812293740008025,macro,,,,,,,,,,,,,70.4,115.21345,21.59842105263158,,,-0.9892670666502188,-0.10770636069829956,0.2926046151482776
1991-03-31,-0.026102384572036508,macro,,,,,,,,,,,,,87.7,116.02571,17.74421052631579,,,0.24356847867538883,-0.09082228381780175,-0.2310533485736966
1991-04-30,-0.24393863147750894,macro,,,,,,,,,,,,,81.8,107.24167,17.37272727272727,,,-0.17687832579981888,-0.2734121031876666,-0.2815254654450413
1991-05-31,-0.4335182310070729,macro,,,,,,,,,,,,,78.3,94.75868,16.93227272727273,,,-0.42629592167494185,-0.532890303343384,-0.3413684680028927
1991-06-30,-0.31897413170486505,macro,,,,,,,,,,,,,82.1,96.9376,17.134999999999998,,,-0.15549967472480855,-0.48759809050949593,-0.3138246298802906
1991-07-31,-0.3163656394166787,macro,,,,,,,,,,,,,82.9,93.53158,17.294090909090908,,,-0.09848993852477962,-0.5583974694479054,-0.2922095102773512
