date,Infra,Infra_Util_CapUtil_idx,Infra_Util_CapUtil_raw,Infra_Macro
1997-07-31,110.1962714428052,110.1962714428052,91.7968,110.1962714428052
1997-08-31,110.03889415747332,110.03889415747332,91.6657,110.03889415747332
1997-09-30,111.6119467486165,111.6119467486165,92.9761,111.6119467486165
1997-10-31,113.61679651393106,113.61679651393106,94.6462,113.61679651393106
1997-11-30,112.58466081653722,112.58466081653722,93.7864,112.58466081653722
1997-12-31,112.63207807641982,112.63207807641982,93.8259,112.63207807641982
1998-01-31,109.16677670672127,109.16677670672127,90.9392,109.16677670672127
1998-02-28,110.51978920327,110.51978920327,92.0663,110.51978920327
1998-03-31,113.75640733226895,113.75640733226895,94.7625,113.75640733226895
1998-04-30,112.79521745915513,112.79521745915513,93.9618,112.79521745915513
1998-05-31,115.71131892008692,115.71131892008692,96.391,115.71131892008692
1998-06-30,117.13635763417885,117.13635763417885,97.5781,117.13635763417885
1998-07-31,116.53445854290962,116.53445854290962,97.0767,116.53445854290962
1998-08-31,116.12955115662102,116.12955115662102,96.7394,116.12955115662102
1998-09-30,118.99751509549476,118.99751509549476,99.1285,118.99751509549476
1998-10-31,118.23619797606328,118.23619797606328,98.4943,118.23619797606328
1998-11-30,114.6981501266461,114.6981501266461,95.547,114.6981501266461
1998-12-31,115.01830666362555,115.01830666362555,95.8137,115.01830666362555
1999-01-31,116.09329796045759,116.09329796045759,96.7092,116.09329796045759
1999-02-28,114.84196247434066,114.84196247434066,95.6668,114.84196247434066
1999-03-31,117.73453537087502,117.73453537087502,98.0764,117.73453537087502
1999-04-30,116.66782708906042,116.66782708906042,97.1878,116.66782708906042
1999-05-31,115.68358882633281,115.68358882633281,96.3679,115.68358882633281
1999-06-30,117.23491350851711,117.23491350851711,97.6602,117.23491350851711
1999-07-31,120.10443801543762,120.10443801543762,100.0506,120.10443801543762
1999-08-31,118.04376793152709,118.04376793152709,98.334,118.04376793152709
1999-09-30,116.63841638356362,116.63841638356362,97.1633,116.63841638356362
1999-10-31,115.75981657323267,115.75981657323267,96.4314,115.75981657323267
1999-11-30,115.6181650120644,115.6181650120644,96.3134,115.6181650120644
1999-12-31,116.43758328031404,116.43758328031404,96.996,116.43758328031404
2000-01-31,115.72812503751366,115.72812503751366,96.405,115.72812503751366
2000-02-29,116.49100272499189,116.49100272499189,97.0405,116.49100272499189
2000-03-31,114.61928141843632,114.61928141843632,95.4813,114.61928141843632
2000-04-30,115.55502202801821,115.55502202801821,96.2608,115.55502202801821
2000-05-31,119.66375760776921,119.66375760776921,99.6835,119.66375760776921
